Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Cuba,CUB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.51685273,64.84215099,60.03949474,66.60963708,67.92973433,74.03745302,71.79337676,73.87845529,76.19738229,74.65264327,75.51259213,74.27336059,77.61404918,80.44106376,80.82081457,85.54018502,87.42774561,87.6458117,89.27713721,97.93387857,,94.88313496,95.85314477,97.14237676,94.58487183,14.34809119,0,0,0,0,0,0,0,0,,
Curacao,CUW,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,
Cayman Islands,CYM,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.05392542,99.29175561,99.12859855,99.13954414,98.63545355,96.89785285,97.02406891,97.18752294,97.22339188,97.29399716,97.42951259,97.40899928,97.31939105,97.28333854,96.73114621,96.54634621,96.62143998,95.84113457,94.8502704,94.32472585,94.22789182,93.62681919,92.92798288,92.11165225,91.90067364,90.70863889,0,0,0,0,0,0,0,0,,
Czechia,CZE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.19402658,90.95135742,89.49887231,88.80649678,87.96196926,88.75949412,88.82418485,89.01498975,88.37061627,87.32796471,89.21165756,88.37923523,86.08756523,83.68048072,83.19761427,83.09937872,82.46517339,82.75636976,80.87584912,78.81860963,79.23836064,78.00472789,76.15904235,74.91005035,73.97403825,75.34945841,0,0,0,0,0,0,0,0,0,
Germany,DEU,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.83025589,87.08988945,85.95094239,86.00162094,86.01320598,85.8067183,85.89398814,84.62513383,84.91749178,83.92761109,83.61750929,83.60096766,83.27377873,82.93916015,82.22187933,81.39007763,80.67165831,80.5058881,79.91048689,79.31620248,78.91374352,79.91474485,79.87342822,80.13918693,79.39572885,79.628037,0,0,0,0,0,0,0,0,0,
Djibouti,DJI,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
Dominica,DMA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
Denmark,DNK,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.62475647,94.06368791,90.70117842,91.73171239,94.62506185,92.33885675,98.48192721,94.32513941,92.64345761,90.85510739,88.24068187,88.209355,87.9614995,89.64242956,85.44675467,82.25896469,86.6011717,81.94758966,80.10435724,78.86383248,78.56007908,75.0927558,71.31203775,71.39673019,67.50530309,64.21185469,0,0,0,0,0,0,0,0,0,
Dominican Republic,DOM,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.49312906,76.2161956,78.81779741,81.10172351,83.62335534,84.9760135,85.62495285,87.23067845,84.8628817,85.07502664,85.59982332,85.91337216,83.9784627,85.40772845,80.75409453,83.90853401,82.57653192,82.37724589,85.9990467,84.35373187,84.67326566,85.48490275,86.17988197,85.22869193,85.9892429,76.7792422,0,0,0,0,0,0,0,0,,
Algeria,DZA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.92268616,,,,,99.85551466,99.8243958,99.7460534,99.69516163,99.72663022,99.79732988,99.75778533,99.72289035,99.71349619,99.72057009,99.59232535,99.72238806,99.73486301,99.80396338,99.92099472,96.08237707,96.39108909,96.85594378,97.15503409,97.03029003,21.62619444,0,0,0,0,0,0,0,0,,
